phone_number,account_age_days,is_verified_customer,total_orders,total_returns,return_rate,refund_requests,high_value_orders,avg_order_value,order_cancellations,purchase_frequency_per_month,devices_sold_on_platform,device_condition_mismatch,fake_invoice_flag,imei_mismatch_attempts,wrong_item_returned_count,device_value_mismatch_score,multiple_addresses_flag,multiple_accounts_linked,shared_phone_number_flag,previous_blacklist_flag,ip_reputation_score,payment_failures,chargeback_count,cod_orders,prepaid_orders,fraud_attempts,return_fraud_suspected,suspicious_activity_score,dispute_tickets_raised,liability_score,risk_category
9086917553,966,1,23,4,0.174,1,7,14936,0,0.714,4,1,0,0,0,0.033,0,0,0,0,0.868,1,1,3,20,1,1,0.031,0,65,medium_risk
6860108902,516,1,27,1,0.037,1,7,16522,2,1.57,4,2,0,0,0,0.209,0,0,0,0,0.735,1,1,1,26,0,0,0.0,1,73,low_risk
9558830981,705,1,19,4,0.211,3,8,12444,1,0.809,2,0,0,0,0,0.054,0,0,0,0,0.821,0,0,0,19,0,0,0.0,1,85,low_risk
8993618498,40,1,11,1,0.091,1,2,10790,2,8.25,1,0,0,1,0,0.356,0,0,0,0,0.827,0,1,3,8,0,0,0.0,0,59,medium_risk
6728281614,1184,1,15,2,0.133,2,5,14927,0,0.38,4,0,0,0,0,0.136,0,0,0,0,0.991,2,0,2,13,0,0,0.0,0,92,low_risk
7718136821,1348,1,24,3,0.125,2,10,12722,0,0.534,4,0,0,1,0,0.031,0,0,0,0,0.759,2,0,1,23,1,1,0.077,1,76,low_risk
7047248080,175,1,1,1,1.0,0,0,4534,1,0.171,0,5,0,1,1,0.592,1,0,0,0,0.552,1,1,1,0,1,1,0.626,0,0,high_risk
6307624194,902,1,21,1,0.048,1,8,11147,0,0.698,3,0,0,0,0,0.025,0,0,0,0,0.907,6,1,1,20,0,0,0.0,1,80,low_risk
6841250541,878,1,25,3,0.12,1,8,15194,0,0.854,3,3,0,0,0,0.265,0,0,0,0,0.868,3,0,1,24,2,1,0.0,0,58,medium_risk
7129128262,1346,1,40,4,0.1,4,16,15206,1,0.892,6,1,0,1,0,0.053,0,0,0,0,0.735,3,3,2,38,0,0,0.059,1,72,low_risk
7853477648,616,1,19,0,0.0,0,5,14564,0,0.925,1,2,0,1,0,0.226,0,0,0,0,0.832,1,0,1,18,1,1,0.026,1,70,medium_risk
6396434030,73,0,10,4,0.4,3,0,2101,4,4.11,1,3,0,0,2,0.397,0,1,0,0,0.315,2,1,2,8,0,1,0.293,1,0,high_risk
9184889423,790,1,27,2,0.074,2,8,14328,1,1.025,4,1,0,0,0,0.327,0,0,0,0,0.664,0,0,2,25,1,1,0.014,0,74,low_risk
6557772336,505,1,17,0,0.0,0,6,11853,0,1.01,3,2,0,1,0,0.091,0,0,0,0,1.0,1,0,2,15,0,0,0.0,0,84,low_risk
8439403626,668,1,30,1,0.033,1,7,10388,0,1.347,6,0,0,0,0,0.272,0,0,0,0,0.981,1,0,1,29,1,1,0.0,0,76,low_risk
9403923593,528,1,9,2,0.222,2,4,8168,2,0.511,3,1,0,0,0,0.12,0,0,0,0,0.691,1,0,2,7,1,1,0.0,0,51,medium_risk
6672215508,933,1,24,0,0.0,0,12,10006,0,0.772,2,3,0,1,0,0.289,0,0,0,0,0.858,3,0,2,22,0,0,0.0,0,75,low_risk
7386291813,1062,1,29,0,0.0,0,8,9990,0,0.819,2,1,0,2,0,0.195,0,0,0,0,0.812,3,0,2,27,1,1,0.008,0,78,low_risk
7657267070,280,1,17,0,0.0,0,7,12082,0,1.821,0,1,0,1,0,0.156,0,0,0,0,0.741,0,1,2,15,0,0,0.14,0,83,low_risk
8518999239,331,1,10,0,0.0,0,1,9704,1,0.906,0,1,0,0,0,0.305,0,0,0,0,0.898,1,0,3,7,0,0,0.0,0,59,medium_risk
6261648188,438,1,33,6,0.182,3,16,11409,0,2.26,8,0,0,1,0,0.04,0,0,0,0,0.715,5,1,5,28,1,1,0.0,1,64,medium_risk
9429092535,999,0,10,1,0.1,1,4,6855,0,0.3,2,0,0,0,0,0.213,0,0,0,0,0.938,0,0,2,8,0,0,0.0,0,78,low_risk
9387959764,785,1,20,0,0.0,0,5,17614,0,0.764,1,0,0,2,0,0.144,0,0,0,0,0.893,3,0,2,18,1,1,0.049,0,86,low_risk
7833983375,166,1,9,2,0.222,1,1,5180,1,1.627,3,2,0,0,0,0.324,0,0,0,0,0.852,1,0,1,8,0,0,0.091,1,52,medium_risk
8630331748,347,1,12,1,0.083,0,4,7661,2,1.037,2,2,0,0,0,0.374,0,0,0,1,0.545,1,0,5,7,1,1,0.105,0,30,high_risk
6329906813,49,0,5,1,0.2,1,1,2740,4,3.061,3,3,0,2,0,0.706,0,0,0,0,0.476,1,1,3,2,0,0,0.357,0,0,high_risk
9885103515,128,1,11,4,0.364,4,4,7113,0,2.578,0,1,0,1,1,0.209,0,0,0,0,0.896,1,0,0,11,2,1,0.018,1,35,high_risk
6541381421,824,0,1,0,0.0,0,0,5390,0,0.036,0,0,0,0,0,0.322,0,1,0,0,0.614,0,0,0,1,0,0,0.0,0,56,medium_risk
7798546256,552,1,16,1,0.062,1,2,10862,2,0.87,3,3,0,2,0,0.284,0,0,0,0,0.448,1,0,6,10,1,1,0.084,0,35,high_risk
6369591761,30,0,8,4,0.5,3,0,3639,2,8.0,3,2,1,0,0,0.639,0,0,0,0,0.356,0,0,6,2,0,0,0.558,0,0,high_risk
6514018903,135,0,5,2,0.4,1,0,612,3,1.111,2,5,1,0,0,0.495,0,0,0,0,0.106,1,0,2,3,1,1,0.48,0,0,high_risk
6390450705,811,1,2,0,0.0,0,0,8375,0,0.074,1,0,0,0,0,0.489,0,0,0,0,0.772,0,0,0,2,1,1,0.0,0,58,medium_risk
6240015640,460,1,14,2,0.143,0,4,11088,0,0.913,1,1,0,1,0,0.337,0,0,0,0,0.642,2,0,4,10,2,1,0.059,0,47,medium_risk
6023784398,238,1,8,1,0.125,1,2,7776,0,1.008,0,0,0,0,0,0.454,0,0,0,0,0.911,0,0,2,6,0,0,0.0,0,67,medium_risk
9526891814,112,1,29,1,0.034,1,5,13442,0,7.768,8,1,0,0,0,0.275,0,0,0,0,0.882,2,0,3,26,0,0,0.0,0,88,low_risk
9016363058,105,0,29,0,0.0,0,9,8949,0,8.286,1,1,0,0,0,0.441,0,0,0,0,0.863,4,1,3,26,0,0,0.0,2,65,medium_risk
9566010073,478,1,7,0,0.0,0,2,9370,0,0.439,2,2,1,1,0,0.194,0,0,0,0,0.874,3,0,2,5,0,0,0.129,0,44,medium_risk
6974082669,564,1,25,1,0.04,0,8,12149,1,1.33,6,1,0,0,0,0.241,0,0,0,0,0.941,2,0,3,22,1,1,0.0,0,77,low_risk
7377174157,115,0,9,4,0.444,2,0,2918,4,2.348,3,4,0,1,1,0.595,0,0,0,0,0.345,3,0,3,6,2,1,0.332,0,0,high_risk
9398766760,404,1,30,3,0.1,0,10,13697,2,2.228,3,0,0,1,0,0.09,0,0,0,0,0.829,2,2,2,28,0,0,0.039,0,77,low_risk
8414455561,557,1,17,5,0.294,5,4,1883,2,0.916,4,3,0,1,0,0.217,0,1,0,0,0.922,0,0,5,12,0,0,0.0,2,39,high_risk
9496171481,612,0,4,1,0.25,0,1,9816,4,0.196,0,2,0,0,1,0.322,0,0,0,0,0.613,1,0,1,3,0,0,0.0,1,45,medium_risk
7164830758,1025,1,12,1,0.083,1,7,9208,1,0.351,3,1,0,0,0,0.304,0,0,0,0,0.844,3,0,0,12,0,0,0.0,0,85,low_risk
9296014917,246,1,20,2,0.1,2,3,6808,0,2.439,2,1,0,0,0,0.23,0,0,0,0,0.843,1,0,7,13,1,1,0.0,0,44,medium_risk
6482536649,937,1,14,0,0.0,0,7,12814,0,0.448,0,1,0,0,0,0.186,0,0,0,0,0.995,1,0,2,12,0,0,0.012,0,89,low_risk
6386524341,185,0,2,1,0.5,0,1,3395,2,0.324,1,3,0,0,0,0.481,1,0,0,0,0.196,0,0,1,1,1,1,0.538,0,0,high_risk
6699230829,143,0,8,3,0.375,1,2,948,1,1.678,2,4,0,0,1,0.559,0,0,1,0,0.334,1,1,3,5,0,1,0.491,2,0,high_risk
9504944064,203,1,2,0,0.0,0,0,6653,0,0.296,0,3,0,0,0,0.412,0,0,0,0,0.869,0,0,0,2,0,0,0.0,1,48,medium_risk
6756307085,197,0,1,0,0.0,0,1,6974,0,0.152,0,2,0,0,0,0.324,0,0,0,0,0.66,0,0,1,0,0,0,0.073,0,55,medium_risk
6178297949,40,1,26,5,0.192,2,6,10411,1,19.5,3,0,0,0,0,0.023,0,0,0,0,0.811,0,0,7,19,0,0,0.181,1,88,low_risk
9986344142,533,1,11,0,0.0,0,1,1780,0,0.619,3,1,0,0,0,0.379,1,0,0,0,0.575,0,0,5,6,0,0,0.316,0,62,medium_risk
6078871194,477,0,1,1,1.0,1,0,3993,1,0.063,0,2,0,0,0,0.071,0,0,0,0,0.806,0,0,0,1,0,0,0.138,0,20,high_risk
7400747241,200,0,9,1,0.111,1,0,6817,1,1.35,1,1,0,1,0,0.07,0,0,0,0,0.689,2,1,1,8,1,1,0.012,0,34,high_risk
9046942384,585,1,34,2,0.059,1,19,6058,0,1.744,6,0,0,1,0,0.347,0,0,0,0,0.86,7,1,6,28,1,1,0.019,0,71,low_risk
8652923925,1051,1,32,2,0.062,0,6,13201,1,0.913,7,2,0,0,0,0.152,0,0,0,0,0.83,4,0,2,30,0,0,0.0,0,83,low_risk
6067361886,981,1,30,3,0.1,1,8,14367,1,0.917,5,0,0,0,0,0.237,0,0,0,0,0.935,4,0,4,26,1,1,0.0,1,83,low_risk
6662622665,65,0,6,1,0.167,1,1,2764,2,2.769,2,4,0,0,0,0.501,0,1,0,0,0.288,1,1,0,6,0,0,0.526,0,0,high_risk
8699480427,499,1,10,4,0.4,3,1,7998,1,0.601,2,1,0,0,1,0.113,0,0,1,0,0.663,4,1,7,3,1,1,0.0,1,23,high_risk
8084007287,653,1,16,0,0.0,0,7,10127,1,0.735,1,0,0,0,0,0.027,0,0,0,0,0.719,3,0,1,15,0,0,0.0,2,92,low_risk
7541575611,1418,1,22,1,0.045,0,7,8196,0,0.465,5,0,0,1,0,0.18,0,0,0,0,0.701,1,0,2,20,0,0,0.0,1,96,low_risk
7296739586,30,0,8,0,0.0,0,0,7467,0,8.0,1,0,0,1,0,0.058,0,0,0,0,0.911,0,0,1,7,0,0,0.051,1,62,medium_risk
8377649959,1460,1,23,0,0.0,0,7,13503,1,0.473,4,1,0,0,0,0.029,0,0,0,0,0.814,2,0,3,20,2,1,0.0,1,73,low_risk
8231521803,556,1,13,3,0.231,1,2,5548,2,0.701,4,1,0,0,0,0.059,0,0,0,0,0.701,2,0,2,11,0,0,0.0,0,61,medium_risk
6453956552,408,1,25,4,0.16,3,10,7338,1,1.838,3,2,0,0,0,0.05,0,0,0,0,0.826,1,1,1,24,1,1,0.037,0,59,medium_risk
9737842637,826,1,17,4,0.235,4,3,8585,1,0.617,2,2,1,0,1,0.451,0,0,0,0,0.978,1,0,3,14,0,0,0.056,0,44,medium_risk
8204582579,609,1,14,1,0.071,1,5,7749,1,0.69,4,0,0,1,0,0.468,0,0,1,0,0.763,1,0,3,11,1,1,0.047,0,49,medium_risk
9399529851,848,1,9,2,0.222,1,1,10511,3,0.318,2,4,0,1,0,0.224,0,0,0,0,0.788,0,0,2,7,0,0,0.0,1,40,high_risk
8603054288,946,0,23,0,0.0,0,7,12092,0,0.729,1,1,0,1,0,0.426,0,0,0,0,1.0,2,1,1,22,0,0,0.076,1,72,low_risk
7581092717,30,1,8,0,0.0,0,2,9037,1,8.0,3,0,1,1,0,0.473,0,0,0,0,1.0,3,0,0,8,0,0,0.074,1,59,medium_risk
9953366838,786,1,19,3,0.158,2,2,11571,0,0.725,0,2,0,0,0,0.289,0,0,0,0,0.624,2,0,6,13,0,0,0.021,0,51,medium_risk
9168915592,353,1,7,0,0.0,0,2,12403,0,0.595,1,2,0,1,0,0.232,0,0,0,0,0.54,1,0,1,6,0,0,0.0,1,55,medium_risk
9433493571,632,0,39,1,0.026,1,12,10245,0,1.851,4,2,0,0,0,0.175,0,0,0,0,0.922,6,0,2,37,0,0,0.045,1,79,low_risk
7653107784,352,1,13,3,0.231,2,1,9875,3,1.108,3,2,0,1,0,0.146,0,1,0,0,0.784,3,1,3,10,0,0,0.092,1,33,high_risk
6393424493,294,0,6,1,0.167,0,2,2522,3,0.612,1,4,0,1,1,0.654,1,0,0,0,0.5,2,0,4,2,1,1,0.686,0,0,high_risk
6448060024,1034,1,12,1,0.083,0,4,9879,1,0.348,3,0,0,0,0,0.003,0,0,1,0,0.991,1,0,2,10,0,0,0.0,1,87,low_risk
9880200810,1282,1,14,0,0.0,0,6,12004,1,0.328,2,0,0,1,0,0.414,0,0,0,0,0.933,3,0,1,13,0,0,0.0,0,97,low_risk
7142947575,1281,1,32,3,0.094,3,8,9566,2,0.749,4,0,0,1,0,0.14,0,1,0,0,0.831,2,0,4,28,1,1,0.0,0,71,low_risk
9339927987,697,1,20,2,0.1,2,6,12725,1,0.861,4,2,0,1,0,0.45,0,0,0,0,0.956,1,0,2,18,0,0,0.0,1,84,low_risk
6982324825,140,0,10,1,0.1,0,2,9593,0,2.143,3,2,0,0,0,0.425,0,0,0,0,0.541,3,0,4,6,0,0,0.03,0,43,medium_risk
9307274705,1520,1,23,0,0.0,0,8,10038,1,0.454,5,1,0,1,0,0.027,0,0,0,0,0.789,2,0,4,19,0,0,0.119,0,87,low_risk
8438263292,684,1,32,6,0.188,2,15,11577,1,1.404,5,3,0,1,0,0.155,0,0,0,0,0.779,3,0,3,29,0,0,0.134,4,65,medium_risk
9685071829,464,1,20,0,0.0,0,10,16252,0,1.293,3,0,0,1,0,0.146,0,0,0,0,1.0,1,0,2,18,0,0,0.016,1,96,low_risk
9658212345,789,1,35,0,0.0,0,17,10076,0,1.331,6,1,0,2,0,0.405,0,0,0,0,1.0,1,0,2,33,0,0,0.079,0,88,low_risk
9692822792,518,1,30,2,0.067,1,4,9561,0,1.737,3,0,0,1,0,0.129,0,0,0,0,0.848,1,0,0,30,0,0,0.0,0,91,low_risk
8004871798,1288,1,22,1,0.045,0,5,15622,2,0.512,2,1,0,0,0,0.545,0,0,0,0,0.942,2,1,3,19,2,1,0.045,0,69,medium_risk
9383766879,30,0,10,1,0.1,1,1,7492,0,10.0,0,0,0,0,0,0.513,1,0,0,0,0.813,0,0,4,6,0,0,0.241,0,63,medium_risk
7534305869,1078,1,33,1,0.03,0,15,14067,0,0.918,5,2,0,1,0,0.054,1,0,0,0,0.81,6,0,4,29,0,0,0.295,1,78,low_risk
7307116711,77,0,4,1,0.25,0,0,1844,3,1.558,0,5,0,0,0,0.718,0,0,1,0,0.37,2,0,2,2,0,0,0.437,0,0,high_risk
9887676231,320,1,6,1,0.167,1,0,1141,3,0.562,0,3,0,0,1,0.62,0,1,0,0,0.504,1,0,4,2,1,1,0.364,1,1,high_risk
9768627200,777,1,30,1,0.033,0,7,14134,2,1.158,3,2,0,0,0,0.398,0,0,0,0,0.682,3,0,4,26,0,0,0.039,1,77,low_risk
9197053724,782,1,6,1,0.167,1,0,9806,2,0.23,0,2,0,0,0,0.342,0,0,0,0,0.694,1,0,0,6,0,0,0.0,1,53,medium_risk
8031311967,1206,1,31,1,0.032,0,13,16604,0,0.771,4,3,0,1,1,0.207,0,0,0,0,1.0,2,1,4,27,0,1,0.0,0,64,medium_risk
9687754019,837,1,30,1,0.033,1,10,15117,0,1.075,3,0,0,0,0,0.076,0,0,0,0,0.735,0,1,6,24,0,0,0.0,1,85,low_risk
8083291659,400,1,15,1,0.067,0,2,7932,0,1.125,2,0,0,0,0,0.281,0,0,0,0,0.549,2,0,6,9,0,0,0.036,1,63,medium_risk
7600934195,807,1,28,5,0.179,4,12,13874,2,1.041,7,3,0,1,0,0.148,0,0,0,0,0.884,2,0,3,25,1,1,0.0,0,62,medium_risk
9169108307,419,1,33,2,0.061,1,10,11886,0,2.363,9,3,0,1,0,0.13,0,0,0,0,0.971,3,0,4,29,1,1,0.028,2,58,medium_risk
6599317255,30,0,5,0,0.0,0,1,3431,2,5.0,2,3,0,0,0,0.577,0,0,0,0,0.377,1,0,3,2,1,1,0.303,0,0,high_risk
6664136587,263,1,25,0,0.0,0,15,18217,1,2.852,2,1,0,1,0,0.13,0,0,0,0,1.0,3,2,2,23,0,0,0.0,1,80,low_risk
7462360868,254,1,30,1,0.033,1,8,11796,0,3.543,8,1,0,0,0,0.349,0,0,0,0,0.828,3,1,7,23,2,1,0.023,0,65,medium_risk
8406982492,99,1,20,0,0.0,0,10,12391,0,6.061,1,1,0,0,0,0.145,0,0,0,0,0.879,1,0,3,17,1,1,0.074,1,73,low_risk
9076972468,30,1,15,1,0.067,1,5,10941,0,15.0,3,0,0,0,0,0.226,0,0,0,0,1.0,3,0,1,14,0,0,0.0,0,88,low_risk
7266245003,138,1,8,3,0.375,1,2,3505,2,1.739,4,1,0,1,1,0.765,0,0,0,0,0.496,3,0,0,8,0,0,0.371,1,20,high_risk
7667565495,975,1,13,0,0.0,0,5,10415,1,0.4,3,3,0,1,0,0.045,0,0,0,0,0.806,1,0,0,13,0,0,0.013,0,75,low_risk
9936773266,30,0,5,1,0.2,0,2,2383,2,5.0,2,4,0,0,0,0.68,1,0,0,0,0.366,2,1,2,3,0,0,0.545,0,0,high_risk
8202251345,318,1,8,1,0.125,1,2,5600,1,0.755,1,1,0,0,0,0.073,0,0,0,0,0.835,0,1,1,7,0,0,0.0,0,47,medium_risk
7894169076,1056,1,20,2,0.1,1,5,14372,1,0.568,3,0,0,0,0,0.037,0,0,0,0,0.847,3,0,3,17,0,0,0.052,0,91,low_risk
7705417911,800,1,37,3,0.081,1,14,10464,1,1.388,7,0,0,0,0,0.235,0,0,0,0,1.0,2,0,5,32,0,0,0.059,0,99,low_risk
6528173914,107,1,17,2,0.118,2,5,9621,1,4.766,2,2,0,0,0,0.294,0,0,0,0,0.715,0,0,3,14,0,0,0.0,0,56,medium_risk
6287558162,775,1,19,0,0.0,0,4,12005,0,0.735,3,2,0,0,0,0.389,0,0,0,0,0.873,2,0,0,19,0,0,0.0,0,79,low_risk
8344909511,127,1,6,1,0.167,0,0,3045,1,1.417,0,5,0,0,0,0.719,0,0,1,0,0.516,1,1,3,3,0,0,0.315,0,0,high_risk
6801983398,987,1,27,0,0.0,0,8,10281,1,0.821,6,0,0,1,0,0.07,0,0,0,0,1.0,3,1,2,25,0,0,0.005,0,84,low_risk
6383369902,630,1,10,3,0.3,2,2,8761,1,0.476,1,1,0,0,0,0.328,0,0,0,0,0.794,0,1,2,8,0,0,0.059,0,39,high_risk
7378022744,30,1,1,1,1.0,0,1,2909,1,1.0,0,1,0,2,1,0.348,0,0,1,0,0.225,0,0,1,0,1,1,0.522,0,0,high_risk
8755690847,1611,1,24,0,0.0,0,8,10726,1,0.447,1,1,0,0,0,0.232,0,0,0,0,0.916,2,1,2,22,0,0,0.084,2,72,low_risk
9955321930,313,0,3,0,0.0,0,1,2327,3,0.288,3,4,0,0,0,0.175,0,0,0,0,0.471,1,0,1,2,1,1,0.281,0,0,high_risk
7649990256,569,1,26,2,0.077,1,9,12357,1,1.371,1,1,0,1,0,0.22,0,0,0,0,0.859,1,0,3,23,0,0,0.0,0,85,low_risk
6123465450,1651,1,21,2,0.095,0,8,8112,0,0.382,2,0,0,0,0,0.141,0,0,0,0,0.858,2,0,1,20,0,0,0.053,0,87,low_risk
9621848822,294,0,1,0,0.0,0,1,8301,0,0.102,0,3,0,0,0,0.11,0,0,0,0,0.941,0,0,0,1,1,1,0.0,0,29,high_risk
6826202497,1139,1,17,1,0.059,0,7,11831,1,0.448,2,1,0,0,1,0.438,0,0,0,0,0.957,1,0,4,13,0,0,0.158,1,81,low_risk
8901897127,760,1,32,3,0.094,2,10,9177,1,1.263,2,0,0,1,0,0.101,0,1,0,0,1.0,3,2,2,30,1,1,0.006,2,65,medium_risk
9313572427,1383,1,29,0,0.0,0,7,9551,1,0.629,5,2,0,0,0,0.161,0,0,0,0,0.875,4,0,4,25,0,0,0.065,1,84,low_risk
9590267251,1272,1,21,1,0.048,0,2,10577,0,0.495,2,1,0,0,0,0.211,0,0,0,0,0.71,4,0,3,18,0,0,0.061,0,91,low_risk
6884010510,455,1,7,1,0.143,1,2,7727,2,0.462,0,1,0,0,1,0.144,0,0,0,0,0.669,0,0,1,6,0,0,0.0,0,59,medium_risk
7518929789,204,1,29,0,0.0,0,11,14950,0,4.265,9,0,0,0,0,0.092,0,0,0,0,0.695,2,1,5,24,1,1,0.012,0,70,medium_risk
6594518653,237,0,11,3,0.273,3,1,9898,0,1.392,2,2,0,0,0,0.673,0,0,0,0,0.763,1,0,4,7,0,0,0.001,1,45,medium_risk
7863297516,30,1,22,1,0.045,1,5,7534,0,22.0,4,0,0,0,0,0.005,0,0,0,0,1.0,3,0,0,22,0,0,0.027,0,92,low_risk
9427195698,536,1,23,0,0.0,0,8,13537,2,1.287,3,1,0,2,0,0.043,0,0,0,0,1.0,3,0,3,20,0,0,0.006,0,87,low_risk
6091701492,476,0,5,0,0.0,0,1,2969,0,0.315,3,1,0,0,0,0.366,0,0,0,0,0.8,0,0,1,4,0,0,0.0,0,57,medium_risk
6394242063,425,1,25,2,0.08,1,8,10053,0,1.765,1,2,0,0,0,0.195,0,0,0,0,0.774,0,0,3,22,0,0,0.093,0,80,low_risk
8736212629,914,1,43,2,0.047,2,13,17108,0,1.411,2,0,0,1,0,0.078,0,0,0,0,0.798,4,1,11,32,1,1,0.0,0,67,medium_risk
9706787957,1546,1,19,0,0.0,0,9,7100,0,0.369,2,0,0,0,0,0.323,0,0,0,0,0.872,1,0,0,19,0,0,0.0,0,98,low_risk
8107652544,744,1,22,4,0.182,2,6,6501,1,0.887,4,1,0,2,1,0.082,0,0,0,0,0.89,2,0,3,19,0,0,0.0,2,84,low_risk
6344499711,30,1,13,0,0.0,0,5,9630,1,13.0,2,1,0,0,0,0.049,0,0,0,0,0.915,2,0,2,11,0,0,0.0,0,86,low_risk
7299993231,1645,0,26,3,0.115,2,8,11022,1,0.474,6,1,0,2,0,0.007,0,0,0,0,0.915,2,1,5,21,2,1,0.08,0,58,medium_risk
6268850918,814,1,16,2,0.125,1,5,12251,1,0.59,1,0,0,0,0,0.308,0,0,0,0,0.809,1,0,4,12,0,0,0.0,1,88,low_risk
6915699950,428,1,15,0,0.0,0,6,10407,0,1.051,1,0,0,0,0,0.111,0,0,0,0,0.993,3,0,1,14,1,1,0.06,0,81,low_risk
8018085192,717,1,13,1,0.077,1,6,9047,1,0.544,5,1,0,2,0,0.07,0,0,0,0,0.981,2,0,0,13,0,0,0.0,0,86,low_risk
8891479575,178,1,30,1,0.033,1,14,12801,1,5.056,4,1,0,1,0,0.033,0,0,0,0,0.947,2,0,5,25,2,1,0.125,2,78,low_risk
7378420109,279,0,3,1,0.333,1,0,3661,1,0.323,2,2,0,0,0,0.228,0,0,0,0,0.27,2,1,3,0,0,0,0.364,0,3,high_risk
